Fecha,Magnitud,Latitud,Longitud
2000-09-27,3.8,31.54,-115.87
2000-10-18,4.4,30.69,-114.26
2002-01-19,4.1,31.15,-115.24
2002-03-27,4.7,30.22,-114.01
2002-09-26,3.7,29.26,-115.13
2003-09-09,3.8,30.16,-114.11
2003-09-09,3.9,30.26,-114.07
2004-01-26,3.8,31.32,-115.6
2004-08-20,4.4,30.02,-114.14
2004-08-20,4.6,29.86,-114.05
2004-08-20,4.1,30.27,-113.96
2004-08-21,3.6,29.84,-114.06
2004-08-30,5.1,29.52,-116.55
2004-09-15,4.0,29.97,-113.99
2005-04-26,4.4,30.23,-114.12
2005-04-26,5.0,30.25,-114.13
2005-04-27,3.9,30.09,-114.18
2005-07-28,3.5,31.36,-115.47
2005-08-22,4.2,30.49,-114.44
2005-12-16,3.9,30.18,-114.06
2005-12-16,3.9,30.01,-114.14
2009-10-07,4.7,30.3,-113.93
2009-10-07,4.6,30.13,-114.14
2009-10-08,4.5,30.21,-114.17
2009-10-09,4.3,29.97,-114.58
2009-10-13,4.6,30.16,-114.37
2009-10-16,4.4,30.09,-113.98
2009-10-16,4.6,30.1,-114.04
2010-05-13,3.9,30.05,-114.27
2010-05-23,3.8,30.53,-114.69
2010-05-30,3.4,31.33,-115.3
2010-06-16,3.7,31.16,-115.65
2010-06-16,4.1,31.11,-115.66
2010-06-16,3.4,31.27,-115.34
2010-06-17,4.4,31.21,-115.66
2010-06-17,3.2,31.12,-115.71
2010-06-17,3.5,31.15,-115.72
2010-06-17,3.4,31.13,-115.75
2010-06-18,3.7,31.11,-115.67
2010-06-19,3.5,31.17,-115.62
2010-06-21,3.6,31.05,-115.7
2010-06-25,4.1,31.08,-115.75
2010-07-03,3.7,30.31,-114.61
2010-07-03,3.7,30.16,-114.88
2010-08-03,4.0,30.23,-115.73
2010-08-10,3.9,29.93,-115.0
2010-08-11,4.2,30.34,-114.4
2010-08-12,3.8,31.16,-115.62
2010-09-04,3.9,31.45,-115.69
2010-09-09,3.4,31.16,-115.71
2010-09-09,3.5,31.09,-115.75
2010-09-10,3.3,31.34,-115.33
2010-09-15,4.2,29.97,-114.11
2010-09-15,5.1,29.9,-114.18
2010-09-15,4.4,29.82,-114.35
2010-09-15,4.2,29.86,-114.28
2010-09-15,3.8,29.97,-114.04
2010-09-16,3.9,29.96,-114.02
2010-09-17,4.1,29.8,-114.34
2010-09-24,3.6,30.97,-115.7
2010-09-25,3.5,31.12,-115.71
2010-09-25,4.0,31.1,-115.75
2010-09-25,3.5,31.12,-115.7
2010-09-26,3.8,31.07,-115.72
2010-09-26,3.7,31.12,-115.71
2010-09-27,3.2,31.09,-115.71
2010-09-27,3.1,31.31,-115.36
2010-09-28,3.2,31.18,-115.64
2010-09-28,3.6,31.16,-115.65
2010-09-29,4.0,31.07,-115.67
2010-10-01,3.5,31.03,-115.76
2010-10-01,3.7,31.02,-115.7
2010-10-01,3.6,30.96,-115.74
2010-10-05,3.5,31.19,-115.66
2010-10-08,4.4,31.1,-115.7
2010-10-13,3.6,31.2,-115.51
2010-10-15,3.0,31.05,-115.72
2010-10-20,4.3,31.31,-116.07
2010-10-20,4.3,31.34,-116.03
2010-10-25,3.3,30.98,-115.68
2010-10-29,3.1,30.93,-115.22
2010-11-02,4.1,31.1,-115.63
2010-11-02,3.8,31.11,-115.72
2010-11-04,4.1,31.17,-115.66
2010-11-07,4.0,30.98,-115.66
2010-11-10,3.9,31.15,-115.67
2010-11-10,3.7,31.14,-115.63
2010-11-12,3.5,31.05,-115.75
2010-11-12,3.7,31.12,-115.72
2010-11-19,3.6,31.21,-115.67
2010-11-20,3.5,31.18,-115.7
2010-12-13,3.6,31.14,-115.69
2011-01-07,3.0,31.12,-115.71
2011-01-07,3.0,31.14,-115.65
2011-01-10,3.2,31.1,-115.73
2011-01-12,4.0,31.14,-115.72
2011-01-21,3.5,30.96,-115.3
2011-01-21,2.8,31.04,-115.67
2011-01-22,3.8,31.06,-115.66
2011-01-22,3.3,31.27,-115.44
2011-01-22,4.1,31.17,-115.66
2011-01-22,4.4,31.11,-115.68
2011-01-22,3.5,31.1,-115.7
2011-01-22,4.0,31.06,-115.69
2011-01-23,3.7,31.13,-115.65
2011-01-23,3.5,31.33,-115.39
2011-01-23,3.4,31.06,-115.77
2011-01-23,3.0,31.29,-115.37
2011-01-23,3.5,31.2,-115.44
2011-01-24,3.1,31.31,-115.49
2011-01-24,3.3,31.28,-115.39
2011-01-25,3.7,31.12,-115.73
2011-01-25,4.1,31.05,-115.58
2011-01-25,3.7,31.08,-115.6
2011-01-27,2.5,31.14,-115.26
2011-01-27,3.0,31.35,-115.62
2011-01-28,3.6,31.06,-115.78
2011-01-28,3.6,31.1,-115.75
2011-02-03,3.8,31.25,-116.45
2011-02-04,3.6,31.25,-115.33
2011-02-04,3.6,31.3,-115.33
2011-02-05,3.4,31.0,-115.71
2011-02-18,3.7,31.18,-115.42
2011-02-23,4.0,31.08,-115.65
2011-03-15,3.6,31.52,-117.01
2011-03-26,3.8,30.84,-115.31
2011-04-01,3.5,31.26,-115.21
2011-04-03,3.6,31.71,-116.19
2011-04-05,3.7,31.08,-115.75
2011-04-06,3.6,31.14,-115.68
2011-04-07,4.1,31.16,-115.63
2011-04-09,3.4,31.04,-115.68
2011-04-09,3.7,31.01,-115.69
2011-04-09,3.6,31.04,-115.76
2011-04-09,3.5,31.17,-115.44
2011-04-09,3.6,31.05,-115.71
2011-04-11,3.8,31.15,-115.33
2011-04-11,3.8,31.11,-115.6
2011-04-11,3.9,31.0,-115.71
2011-04-11,3.1,31.16,-115.58
2011-04-11,3.1,31.02,-115.68
2011-04-11,3.6,30.97,-115.69
2011-04-11,3.3,31.22,-115.3
2011-04-12,3.7,30.94,-115.71
2011-04-12,3.6,31.14,-115.58
2011-04-12,3.5,31.16,-115.58
2011-04-12,3.6,31.06,-115.69
2011-04-13,3.6,31.19,-115.5
2011-04-14,3.6,31.17,-115.57
2011-04-15,3.6,31.17,-115.64
2011-04-16,3.1,31.21,-115.6
2011-04-20,3.6,31.19,-115.46
2011-04-20,3.8,31.17,-115.52
2011-04-20,3.6,31.24,-115.35
2011-04-22,3.5,31.18,-115.62
2011-04-24,3.2,31.28,-115.38
2011-04-29,3.5,31.24,-115.4
2011-04-30,3.5,31.09,-115.75
2011-05-01,3.9,31.06,-115.68
2011-05-09,3.2,31.27,-115.37
2011-05-13,3.2,31.08,-115.73
2011-05-21,3.5,31.01,-115.73
2011-05-21,3.4,31.27,-115.37
2011-05-23,3.5,31.25,-115.57
2011-05-23,3.4,31.17,-115.58
2011-05-24,3.5,31.18,-115.62
2011-05-26,3.8,30.86,-115.33
2011-06-03,3.8,31.02,-115.64
2011-06-03,3.7,31.12,-115.72
2011-06-06,3.3,31.18,-115.58
2011-06-07,3.5,31.24,-115.51
2011-06-07,3.3,31.12,-115.7
2011-06-07,3.7,30.22,-114.76
2011-06-08,3.5,31.11,-115.75
2011-06-08,3.8,30.24,-114.76
2011-06-08,3.8,30.09,-115.13
2011-06-11,3.6,31.15,-115.56
2011-06-13,3.7,30.99,-115.56
2011-06-13,3.9,29.86,-114.56
2011-06-14,3.7,31.03,-115.6
2011-06-15,3.7,31.11,-115.82
2011-06-15,4.2,31.1,-115.6
2011-06-25,3.4,31.0,-115.75
2011-06-29,3.0,31.22,-115.31
2011-07-01,3.5,31.08,-115.75
2011-07-01,3.3,31.15,-115.7
2011-07-01,2.8,31.23,-115.58
2011-07-01,3.2,31.27,-115.54
2011-07-02,3.3,31.07,-115.75
2011-07-05,3.4,31.25,-115.41
2011-07-06,3.6,31.26,-115.26
2011-07-08,3.6,31.15,-115.36
2011-07-15,3.4,31.08,-115.55
2011-07-21,3.5,31.23,-115.57
2011-07-22,3.9,31.03,-115.34
2011-07-25,3.8,31.06,-115.48
2011-08-01,3.2,31.09,-115.74
2011-08-01,3.6,31.05,-115.52
2011-08-04,3.4,31.16,-115.55
2011-08-06,3.5,30.96,-115.21
2011-08-07,3.5,31.07,-115.22
2011-08-15,3.5,31.34,-115.47
2011-08-17,3.5,31.17,-115.6
2011-08-17,3.3,31.18,-115.85
2011-08-17,3.3,31.19,-115.65
2011-08-17,3.5,31.24,-115.51
2011-08-17,3.0,31.06,-115.61
2011-08-20,3.6,31.2,-115.27
2011-08-22,3.8,30.61,-114.04
2011-08-24,3.3,31.13,-115.67
2011-08-25,3.6,31.12,-115.7
2011-08-31,3.6,31.32,-115.71
2011-09-08,3.6,31.06,-115.7
2011-09-15,3.4,31.05,-115.3
2011-09-15,3.1,31.38,-115.59
2011-10-01,3.5,30.96,-115.58
2011-10-17,3.7,31.06,-115.92
2011-10-17,3.3,31.27,-115.46
2011-10-19,4.0,30.24,-114.17
2011-10-21,3.4,30.54,-114.46
2011-11-07,3.2,31.2,-115.26
2011-11-16,3.8,31.02,-115.65
