Fecha,Magnitud,Latitud,Longitud
2000-02-01,2.8,32.6,-116.16
2000-02-06,3.1,32.68,-116.09
2000-02-25,3.0,33.0,-115.55
2000-02-25,3.1,33.0,-115.55
2000-04-09,4.1,32.69,-115.39
2000-04-25,3.8,32.18,-115.02
2000-04-25,3.6,32.14,-115.11
2000-05-01,3.0,32.16,-115.07
2000-05-01,3.1,32.17,-115.07
2000-05-02,4.5,32.24,-114.96
2000-05-02,3.7,32.04,-115.11
2000-05-02,4.4,32.26,-114.92
2000-05-02,3.0,32.14,-115.09
2000-05-02,3.8,32.12,-115.04
2000-05-02,3.1,32.17,-115.09
2000-05-03,3.3,32.18,-115.09
2000-05-04,3.3,32.19,-115.06
2000-05-04,3.6,32.14,-115.11
2000-05-22,3.0,32.59,-116.14
2000-06-14,4.2,32.9,-115.5
2000-06-14,2.8,32.89,-115.5
2000-06-14,3.0,32.9,-115.5
2000-06-14,3.0,32.9,-115.5
2000-06-14,2.8,32.89,-115.5
2000-06-14,2.8,32.89,-115.51
2000-06-14,3.3,32.89,-115.5
2000-06-14,3.0,32.9,-115.51
2000-06-14,2.9,32.89,-115.51
2000-06-14,2.9,32.89,-115.51
2000-06-14,3.1,32.88,-115.51
2000-06-14,2.9,32.88,-115.51
2000-06-14,3.2,32.88,-115.51
2000-06-14,3.4,32.87,-115.51
2000-06-14,2.8,32.9,-115.5
2000-06-14,3.0,32.9,-115.51
2000-06-14,4.5,32.88,-115.5
2000-06-14,3.5,32.9,-115.52
2000-06-14,2.8,32.87,-115.51
2000-06-14,3.6,32.87,-115.51
2000-06-14,2.8,32.87,-115.51
2000-06-14,2.8,32.87,-115.51
2000-06-14,3.3,32.91,-115.51
2000-06-14,3.5,32.91,-115.5
2000-06-14,3.1,32.91,-115.51
2000-06-14,3.3,32.9,-115.51
2000-06-14,3.2,32.9,-115.51
2000-06-14,3.2,32.88,-115.5
2000-06-14,2.8,32.88,-115.51
2000-06-15,2.8,32.92,-115.51
2000-06-17,2.9,32.88,-115.52
2000-07-03,3.2,31.83,-115.63
2000-07-17,3.0,32.61,-116.08
2000-07-25,3.5,32.15,-115.11
2000-07-31,3.0,32.22,-115.78
2000-08-29,3.0,32.22,-115.79
2000-09-10,2.9,32.64,-116.1
2000-09-11,2.9,32.65,-116.1
2000-09-11,3.6,32.72,-115.82
