Fecha,Magnitud,Latitud,Longitud
2000-01-14,3.0,32.17,-116.49
2000-02-01,2.8,32.6,-116.16
2000-02-06,3.1,32.68,-116.09
2000-02-25,3.0,33.0,-115.55
2000-02-25,3.1,33.0,-115.55
2000-05-22,3.0,32.59,-116.14
2000-07-17,3.0,32.61,-116.08
2000-08-24,3.0,32.37,-117.68
2000-09-10,2.9,32.64,-116.1
2000-09-11,2.9,32.65,-116.1
2000-09-14,3.1,32.83,-115.94
2000-12-21,2.9,32.94,-116.24
2001-02-05,3.4,32.4,-117.59
2001-08-12,3.4,31.94,-117.31
2001-08-12,3.4,32.49,-116.3
2001-08-12,3.4,31.97,-117.33
2002-02-08,3.7,32.3,-117.7
2003-06-26,3.7,32.02,-117.38
2003-10-07,3.6,32.53,-117.12
2004-06-15,5.0,32.33,-117.92
2004-06-15,3.6,32.36,-117.82
2004-08-02,3.6,32.08,-117.38
2005-04-12,3.9,32.73,-116.82
2005-05-29,3.8,32.57,-117.53
2005-09-03,3.8,32.52,-116.85
2008-04-02,4.6,31.85,-117.09
2009-11-03,3.9,32.94,-115.86
2010-01-03,3.7,32.08,-116.76
2010-04-04,4.0,32.78,-115.8
2010-04-05,4.8,32.87,-115.93
2010-04-05,3.6,32.84,-116.07
2010-04-05,3.8,32.8,-115.83
2010-04-06,4.2,32.84,-115.84
2010-04-06,3.9,32.95,-116.05
2010-04-06,3.7,32.66,-116.1
2010-04-07,4.4,32.93,-115.97
2010-04-07,3.5,32.91,-115.96
2010-04-07,3.5,32.99,-115.97
2010-04-07,3.6,32.98,-115.75
2010-04-09,3.2,32.88,-115.87
2010-04-09,3.7,32.88,-115.77
2010-04-09,3.8,32.85,-115.72
2010-04-10,3.5,32.92,-115.72
2010-04-10,3.5,32.88,-115.67
2010-04-11,3.6,32.9,-115.71
2010-04-11,3.5,32.9,-115.66
2010-04-12,3.8,32.87,-115.72
2010-04-12,3.6,32.97,-115.68
2010-04-12,3.4,32.93,-115.72
2010-04-12,3.6,32.91,-115.67
2010-04-14,3.8,32.98,-115.72
2010-04-15,3.7,32.95,-115.79
2010-04-15,3.6,32.91,-115.83
2010-04-15,3.6,32.99,-115.65
2010-04-15,3.5,32.81,-115.93
2010-04-15,3.7,32.83,-115.72
2010-04-16,3.8,32.95,-115.7
2010-04-18,4.0,32.92,-115.82
2010-04-22,4.3,32.87,-115.71
2010-04-22,3.8,32.95,-115.76
2010-04-25,3.6,32.97,-115.73
2010-04-27,4.0,32.94,-115.82
2010-04-27,3.6,33.0,-115.79
2010-04-27,3.5,32.95,-115.73
2010-04-27,3.5,32.83,-116.0
2010-04-29,3.7,32.83,-115.74
2010-04-29,3.6,32.83,-115.73
2010-05-01,3.3,32.93,-115.84
2010-05-01,3.7,32.92,-115.91
2010-05-02,3.4,32.06,-116.6
2010-05-04,3.7,32.98,-115.92
2010-05-05,3.6,32.99,-116.07
2010-05-05,3.7,32.74,-116.05
2010-05-05,3.4,32.83,-116.03
2010-05-06,3.4,32.9,-115.86
2010-05-06,3.8,32.76,-115.86
2010-05-07,3.7,31.99,-117.32
2010-05-08,4.2,32.83,-115.76
2010-05-08,4.5,32.81,-115.78
2010-05-08,4.0,32.89,-115.75
2010-05-08,3.9,32.98,-115.84
2010-05-08,3.9,32.78,-115.8
2010-05-10,3.6,32.77,-116.01
2010-05-14,3.9,32.96,-115.84
2010-05-14,3.9,32.92,-115.71
2010-05-18,4.8,32.83,-115.81
2010-05-19,3.3,32.9,-115.74
2010-05-20,3.3,32.75,-115.88
2010-06-01,3.7,32.71,-115.96
2010-06-12,3.6,32.91,-116.0
2010-06-13,3.7,32.95,-116.0
2010-06-14,5.7,32.89,-115.92
2010-06-15,4.5,32.85,-115.95
2010-06-15,3.7,32.78,-115.85
2010-06-15,4.1,32.72,-115.87
2010-06-15,3.5,32.93,-115.91
2010-06-15,3.7,32.71,-115.95
2010-06-15,3.8,32.86,-115.86
2010-06-16,3.6,32.85,-115.84
2010-06-16,3.4,32.83,-115.92
2010-06-16,3.7,32.81,-115.87
2010-06-16,3.4,32.73,-115.85
2010-06-16,3.2,32.76,-115.79
2010-06-16,3.5,32.75,-115.96
2010-06-16,3.6,32.9,-115.91
2010-06-16,3.5,32.9,-115.93
2010-06-16,3.4,32.76,-115.97
2010-06-16,3.4,32.96,-115.84
2010-06-16,3.4,32.84,-115.82
2010-06-17,3.3,32.75,-115.81
2010-06-17,3.6,32.82,-115.93
2010-06-17,3.5,32.89,-116.04
2010-06-18,3.6,32.77,-115.89
2010-06-23,3.5,32.8,-116.12
2010-06-23,3.6,32.97,-116.03
2010-06-30,3.9,32.99,-115.9
2010-08-26,3.9,32.97,-116.03
2010-08-26,3.8,32.89,-115.93
2010-09-01,3.7,32.98,-115.84
2010-09-02,3.5,32.02,-116.94
2010-09-24,3.6,32.97,-115.63
2010-10-02,3.7,32.74,-115.81
2010-10-18,3.4,32.96,-115.64
2010-12-15,3.8,32.82,-115.74
2010-12-27,4.3,32.76,-115.85
2011-01-26,2.6,32.26,-116.81
2011-01-29,3.8,32.13,-117.52
2011-02-06,4.0,32.73,-115.91
2011-02-07,3.6,32.9,-115.91
2011-02-11,2.8,32.63,-115.99
2011-02-13,3.5,32.87,-116.96
2011-03-05,3.9,32.56,-116.36
2011-03-16,3.4,32.81,-116.08
2011-04-03,3.3,32.94,-116.14
2011-04-10,2.7,32.84,-116.12
2011-04-18,3.7,32.87,-116.19
2011-05-12,3.7,32.91,-115.8
2011-05-12,3.4,32.81,-115.75
2011-06-09,4.3,33.0,-115.71
2011-06-17,3.5,33.0,-116.35
2011-06-21,3.7,32.14,-116.81
2011-06-23,3.6,32.93,-116.92
2011-06-26,4.0,32.8,-115.75
2011-07-10,4.0,32.89,-116.19
2011-07-12,3.4,32.56,-116.58
2011-10-09,3.6,32.04,-117.03
2011-10-11,3.7,32.82,-116.15
2011-10-17,3.7,32.89,-116.35
2011-10-30,3.5,32.79,-116.31
2011-11-02,3.8,31.99,-117.06
2011-12-06,3.5,32.84,-116.04
2011-12-28,3.7,32.8,-115.93
2012-05-18,3.8,33.1458,-117.288
2012-07-04,3.6,33.312,-117.198
2012-07-21,3.3,32.6595,-116.969
2012-08-19,3.6,33.0178,-116.801
2012-08-26,4.0,33.1008,-115.64
2012-08-26,4.6,33.0908,-115.479
2012-08-26,5.5,33.2658,-115.495
2012-08-26,3.8,33.1847,-115.614
2012-08-26,4.2,33.0992,-115.536
2012-08-26,5.6,33.087,-115.474
2012-08-26,3.7,33.2743,-115.451
2012-08-26,3.5,33.1232,-115.529
2012-08-26,4.5,33.2555,-115.454
2012-08-26,3.8,33.0587,-115.516
2012-08-26,4.8,33.1555,-115.432
2012-08-27,3.8,33.1502,-115.471
2012-08-27,4.3,33.2123,-115.519
2012-08-28,3.4,32.8182,-116.037
2012-09-26,3.7,33.033,-116.301
2012-10-07,4.2,33.1277,-116.562
2012-12-14,6.4,31.1935,-119.415
2012-12-22,4.0,33.0753,-116.901
2013-01-20,3.5,31.8865,-116.809
2013-01-20,4.0,31.2088,-119.225
2013-02-17,3.8,32.9818,-116.924
2013-02-22,4.1,32.1578,-117.643
2013-03-01,3.8,32.7625,-115.825
2013-03-26,3.4,32.554,-116.768
2013-04-15,3.7,32.7653,-116.108
2013-07-13,3.5,32.5358,-116.88
2013-07-13,3.5,33.0057,-116.985
2013-07-28,3.2,32.1988,-116.562
2013-07-29,3.1,32.2485,-116.737
2013-09-03,3.6,33.1862,-117.326
2013-09-06,3.6,32.9353,-116.682
2013-09-18,3.7,33.0215,-116.746
2013-09-20,3.8,33.257,-117.299
2013-09-22,3.8,33.36,-117.327
2013-09-28,3.6,33.0637,-116.551
2013-09-29,3.8,32.9245,-116.1
2013-10-02,4.0,32.1478,-117.621
2013-11-03,3.6,33.4665,-116.661
2013-11-11,3.8,33.2818,-118.177
2013-12-25,4.2,32.5978,-116.277
2014-01-27,3.8,33.4645,-117.574
